sequence_id,virus,length,molecular_weight,isoelectric_point,aromaticity,instability_index,gravy
X52400|s|LIII|3417,Lassa,1064,120358.187,8.062561225891113,0.08082706766917293,46.56928571428594,-0.2217105263157895
OL774861|s|LIII|3371,Lassa,1059,119995.5908,8.58333683013916,0.09442870632672333,50.98989612842333,-0.3728045325779037
MK107965|s|LIII|3407,Lassa,1097,124679.90989999998,7.991581535339356,0.09298085688240657,47.01596171376501,0.008568824065633512
OM140831|s|LIII|3420,Lassa,1099,124280.1265,7.806750679016113,0.09281164695177434,46.55524112829862,0.006460418562329357
MH053478|s|LIII|3335,Lassa,1071,121510.36899999999,8.071135520935059,0.09617180205415499,45.23418300653609,0.038281979458450015
MG812635|s|LIII|3410,Lassa,1063,120755.50940000001,7.352203178405762,0.08936970837253058,57.12559736594572,-0.294167450611477
AY628206|s|LIII|3420,Lassa,1063,120474.87150000001,8.959316444396975,0.07902163687676388,51.560771401693565,-0.1140169332079022
MK107929|s|LIII|3383,Lassa,1089,123023.71059999999,6.951999855041504,0.09274563820018365,41.99974288337945,0.05270890725436177
MH053476|s|LIII|3383,Lassa,1089,123023.71059999999,6.951999855041504,0.09274563820018365,41.99974288337945,0.05270890725436177
GU481070|s|LIII|3382,Lassa,1083,122958.0018,8.269311332702639,0.09695290858725762,43.976195752539404,0.022160664819944567
GU481072|s|LIII|3383,Lassa,1085,123043.3303,8.296259117126464,0.09216589861751151,45.78011981566839,0.04110599078341011
MZ169799|s|LIII|3368,Lassa,1054,117235.55549999999,9.44985637664795,0.08538899430740038,45.078083491461285,0.14487666034155594
OM140829|s|LIII|3421,Lassa,1069,121179.4618,7.815711784362794,0.0813844714686623,59.21805425631454,-0.39625818521983164
MK107941|s|LIII|3445,Lassa,1088,121904.60019999999,9.073941230773926,0.08915441176470588,48.97280330882377,-0.17398897058823534
MK117971|s|LIII|3368,Lassa,1031,116526.736,7.772015953063964,0.08438409311348205,52.86654704170734,-0.1671193016488846
MH887809|s|LIII|3243,Lassa,1059,118043.94880000001,8.819548988342287,0.09442870632672332,45.9284324834752,0.07998111425873462
MZ169797|s|LIII|2945,Lassa,961,107297.4357,9.022817802429199,0.09885535900104059,46.53258064516147,0.04141519250780434
MK107921|s|LIII|3368,Lassa,1053,116714.8597,9.376040077209474,0.0731244064577398,53.54976258309613,0.042735042735042694
MK107930|s|LIII|3367,Lassa,1051,119452.62700000001,7.1985673904418945,0.09039010466222645,50.43426260704115,-0.23292102759276884
KT992424|s|LIII|3368,Lassa,1044,118868.3088,7.775483512878418,0.09291187739463602,51.44033524904241,-0.19214559386973182
KT992423|s|LIII|3368,Lassa,1046,119108.6391,7.4151807785034185,0.09082217973231357,52.00956978967523,-0.1939770554493308
KT992422|s|LIII|3368,Lassa,1046,119169.76669999998,7.6535634994506845,0.09177820267686423,51.02419694072685,-0.19349904397705547
MK107949|s|LIII|3366,Lassa,1092,121855.75,8.577083396911618,0.07967032967032966,50.802573260073466,-0.026648351648351686
MH053475|s|LIII|3255,Lassa,1057,118028.5448,8.602548408508301,0.0804162724692526,51.398401135288736,-0.007568590350047343
MK107933|s|LIII|3366,Lassa,1093,122065.0348,8.547105598449708,0.07959743824336687,51.0578316559929,-0.02909423604757552
MK117849|s|LIII|3263,Lassa,1059,118252.93179999999,8.595005607604982,0.08026440037771483,51.97583569405118,0.00934844192634557
MH053472|s|LIII|3265,Lassa,1060,118251.78,8.603773307800296,0.07924528301886792,51.05425471698132,-0.007830188679245322
MK107968|s|LIII|3368,Lassa,1081,121997.481,8.174027061462404,0.09528214616096208,43.03905642923237,0.029602220166512455
MZ169795|s|LIII|3193,Lassa,1037,116375.1836,8.750181007385255,0.08968177434908389,53.12218900675043,-0.07232401157184189
MZ169791|s|LIII|3293,Lassa,1039,116874.75110000001,8.756950187683106,0.09335899903753608,55.67391722810421,-0.16881616939364777
MK107914|s|LIII|3366,Lassa,1093,122468.2715,8.642712211608888,0.0869167429094236,52.655269899359794,-0.058554437328453834
MK107910|s|LIII|3366,Lassa,1091,122078.58290000001,8.463554573059085,0.08524289642529789,48.90560036663633,-0.05820348304307978
MK107935|s|LIII|3366,Lassa,1094,123273.42259999999,8.618278694152835,0.0923217550274223,52.16161791590516,-0.1574040219378428
AF333969|s|LIII|3367,Lassa,1101,123109.81480000001,8.933658027648928,0.09809264305177111,47.25014532243439,0.08601271571298816
MK107932|s|LIII|3366,Lassa,1093,122260.7315,8.493532371520995,0.08325709057639524,51.37247026532503,-0.08188472095150964
MK107931|s|LIII|3366,Lassa,1093,122260.7315,8.493532371520995,0.08325709057639524,51.37247026532503,-0.08188472095150964
MK107934|s|LIII|3356,Lassa,1088,122437.2783,8.716592979431152,0.08823529411764706,51.27133272058844,-0.07398897058823534
